Total Rows,User Threshold,Filtered Rows,Remaining Rows,Number of Classes,Minimum Class Size,Maximum Class Size,Average Class Size,QI's
17640,0,0,17640,934,1,198,18.886509635974303,[sex, agegrpk, paeagem_k, miland, untj, wob]
17640,10,1796,15844,328,10,198,48.30487804878049,[sex, agegrpk, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,10,2773,14867,492,10,104,30.21747967479675,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1250,1,104,14.112,[sex, age2, paeagem_k, miland, untj, wo1]
17640,10,2282,15358,504,10,104,30.47222222222222,[sex, age2, paeagem_k, miland, untj, wo1]
17640,0,0,17640,1236,1,106,14.271844660194175,[sex, age2, paeagem_k, miland, untj, wo2]
17640,10,2262,15378,497,10,106,30.941649899396378,[sex, age2, paeagem_k, miland, untj, wo2]
17640,0,0,17640,934,1,198,18.886509635974303,[sex, agegrpk, paeagem_k, miland, untj, wob]
17640,10,1796,15844,328,10,198,48.30487804878049,[sex, agegrpk, paeagem_k, miland, untj, wob]
17640,0,0,17640,11200,1,13,1.575,[sex, sexa, age2, agegrpk, paeagem_k, paeagev_k, miland, untj, untm, wo1, wo2, wob, mbtyp]
17640,10,17576,64,6,10,13,10.666666666666666,[sex, sexa, age2, agegrpk, paeagem_k, paeagev_k, miland, untj, untm, wo1, wo2, wob, mbtyp]
17640,0,0,17640,11200,1,13,1.575,[sex, sexa, age2, agegrpk, paeagem_k, paeagev_k, miland, untj, untm, wo1, wo2, wob, mbtyp]
17640,11,17616,24,2,11,13,12.0,[sex, sexa, age2, agegrpk, paeagem_k, paeagev_k, miland, untj, untm, wo1, wo2, wob, mbtyp]
17640,0,0,17640,2,8654,8986,8820.0,[sex]
17640,1,0,17640,2,8654,8986,8820.0,[sex]
17640,0,0,17640,2,8654,8986,8820.0,[sexa]
17640,1,0,17640,2,8654,8986,8820.0,[sexa]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,11,3003,14637,469,11,104,31.208955223880597,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,6,1811,15829,625,6,104,25.3264,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,5,1471,16169,693,5,104,23.33189033189033,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,10,2773,14867,492,10,104,30.21747967479675,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,6,1811,15829,625,6,104,25.3264,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,339,1,256,52.0353982300885,[sex, age2, miland, untj, wob]
17640,6,279,17361,231,6,256,75.15584415584415,[sex, age2, miland, untj, wob]
17640,0,0,17640,54,22,732,326.6666666666667,[sex, age2, wob]
17640,6,0,17640,54,22,732,326.6666666666667,[sex, age2, wob]
17640,0,0,17640,98,1,723,180.0,[sex, age2, miland, wob]
17640,6,70,17570,75,7,723,234.26666666666668,[sex, age2, miland, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,6,1811,15829,625,6,104,25.3264,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,1510,1,104,11.682119205298013,[sex, age2, paeagem_k, miland, untj, wob]
17640,6,1811,15829,625,6,104,25.3264,[sex, age2, paeagem_k, miland, untj, wob]
17640,0,0,17640,934,1,198,18.886509635974303,[sex, agegrpk, paeagem_k, miland, untj, wob]
17640,6,1095,16545,425,6,198,38.92941176470588,[sex, agegrpk, paeagem_k, miland, untj, wob]
